#{"t_start": 1771565922.632915, "env_id": "None"}
r,l,t
-155433.6,200,4367.226229
-162277.5,200,4371.177868
-1637490.2,200,4375.380531
-651582.4,200,4379.461746
-640147.2,200,4383.771619
-1633583.4,200,4388.127995
-631801.8,200,4392.529891
-1693222.1,200,4396.80386
-658509.6,200,4400.852114
-1719661.1,200,4407.730267
-1602193.3,200,4412.065044
-1731523.3,200,4416.394769
-1675334.3,200,4420.906934
-654649.8,200,4425.139894
-1907632.0,200,4429.592909
-1693914.4,200,4433.778924
-734501.6,200,4437.990105
-720869.8,200,4442.279491
-1638483.5,200,4446.304847
-1654255.1,200,4450.387389
-631316.0,200,4454.575432
-672747.6,200,4458.762919
-170956.1,200,4462.802235
-1657319.8,200,4467.009698
-1754594.5,200,4471.548338
-695109.0,200,4476.008515
-1631536.0,200,4480.306066
-1601149.1,200,4484.841486
-746005.4,200,4489.27368
-1694300.1,200,4493.570341
-681509.5,200,4500.58084
-1743472.3,200,4504.889501
-732474.4,200,4509.373008
-656798.8,200,4513.779119
-727476.4,200,4517.955487
-1736938.5,200,4522.181433
-670033.7,200,4526.240931
-1611702.1,200,4530.658802
-1678367.3,200,4534.947289
-1735179.4,200,4539.25482
-1690690.8,200,4543.614525
-1657516.5,200,4547.991352
-111390.3,200,4551.961763
-1751168.7,200,4556.101268
-646665.6,200,4560.169038
-1715619.3,200,4564.622524
-1653420.8,200,4568.722859
-1647853.7,200,4573.076918
-1744718.9,200,4577.510141
-1665782.8,200,4581.755834
-656289.2,200,4588.721457
-1654515.6,200,4593.101524
-131091.1,200,4597.351953
-1670140.3,200,4601.710594
-1767775.5,200,4606.038815
-1834275.5,200,4610.510139
-1655406.0,200,4614.878803
-1711841.4,200,4619.296361
-691345.2,200,4623.640903
-651962.5,200,4627.791181
-1634532.7,200,4632.073765
-1623277.4,200,4636.436849
-1722732.0,200,4640.609346
-1642027.6,200,4644.875195
-1722633.3,200,4649.01979
-2336009.0,200,4653.435382
-1680724.2,200,4657.633123
-620757.9,200,4661.787287
-1722415.6,200,4665.999803
-732741.1,200,4670.14687
-734334.2,200,4674.456589
-1735573.5,200,4681.642664
-722192.8,200,4685.914154
-1627959.0,200,4690.071579
-110436.9,200,4694.384408
-1669297.5,200,4698.837381
-1764505.9,200,4703.222409
-1740232.0,200,4707.462136
-1705811.6,200,4711.612014
-1702460.7,200,4715.975756
-1721479.0,200,4720.170704
-1710778.1,200,4724.591887
-1609978.8,200,4728.796058
-631324.4,200,4733.055455
-1664403.1,200,4737.508909
-1692453.5,200,4741.896674
-1738645.8,200,4745.965144
-630249.2,200,4750.068032
-1698537.9,200,4754.314344
-1725528.5,200,4758.512253
-673691.2,200,4762.637589
-1734769.1,200,4769.7589
-155674.4,200,4773.907501
-140323.4,200,4777.979686
-1728929.1,200,4782.102582
-1669879.9,200,4786.307662
-658392.7,200,4790.776116
-715545.6,200,4795.170101
-1732504.7,200,4799.255724
-697982.6,200,4803.495234
-1666022.9,200,4807.612597
-720736.8,200,4811.822922
-1676285.5,200,4816.161264
-116592.0,200,4820.140555
-649655.3,200,4824.336288
-1737461.4,200,4828.513789
-1719125.6,200,4832.691812
-653471.7,200,4836.95996
-1822044.5,200,4841.229635
-1778202.0,200,4845.706814
-150606.4,200,4849.739282
-645806.0,200,4853.88057
-1677078.6,200,4860.965129
-683141.2,200,4865.229608
-1661491.1,200,4869.423818
-1665028.2,200,4873.697726
-158415.6,200,4877.673001
-1651080.1,200,4882.059064
-700208.6,200,4886.142051
-1707081.4,200,4890.534896
-149122.4,200,4894.649382
-748136.9,200,4898.809182
-663198.2,200,4902.963758
-165336.5,200,4906.98222
-1712846.6,200,4911.437441
-1663099.6,200,4915.688572
-1673479.3,200,4919.844243
-156018.1,200,4923.976045
-149460.5,200,4928.016526
-1654624.1,200,4932.159235
-590370.2,200,4936.351872
-157457.3,200,4940.299941
-1667982.2,200,4946.911887
-1651155.6,200,4951.035609
-1814231.1,200,4955.203718
-1646967.5,200,4959.10487
-709452.0,200,4963.200339
-163676.8,200,4967.141518
-1695932.5,200,4971.347194
-1657179.1,200,4975.659415
-1683717.4,200,4979.789284
-646189.6,200,4983.721483
-977869.9,200,4987.798719
-1666822.3,200,4991.876307
-1674338.2,200,4996.061098
-1672439.7,200,4999.963584
-1635788.5,200,5003.956388
-202881.0,200,5007.784536
-682576.3,200,5012.02188
-728560.7,200,5015.941109
-1656962.8,200,5020.114208
-645780.1,200,5023.939567
-1671300.9,200,5028.078666
-732935.7,200,5034.852144
-1671417.7,200,5039.023176
-670097.4,200,5042.701137
-1733183.7,200,5046.532376
-1624597.6,200,5050.617343
-1652784.5,200,5054.760367
-1673609.5,200,5058.809527
-680005.9,200,5062.739642
-684824.7,200,5066.636499
-1731755.7,200,5070.7747
-721350.0,200,5074.852309
-1694944.0,200,5079.035466
-1659185.3,200,5082.895585
-167674.3,200,5086.840748
-1742521.0,200,5090.927863
-634840.5,200,5094.993019
-1640611.5,200,5099.042275
-1711574.7,200,5103.159022
-733443.9,200,5107.409921
-159439.7,200,5111.362225
-730699.6,200,5117.839278
-1743286.7,200,5121.970807
-1738500.2,200,5126.005503
-161574.7,200,5129.832254
-1652768.4,200,5133.974902
-205932.3,200,5137.960216
-1671367.4,200,5141.831705
-1597683.9,200,5145.766392
-1651516.8,200,5149.932994
-627085.1,200,5154.136472
-140613.2,200,5157.94939
-664453.3,200,5161.995783
-1049063.4,200,5166.13889
-1729712.4,200,5170.201677
-1735031.7,200,5174.508138
-1745234.9,200,5178.453991
-1734366.7,200,5182.607893
-1699826.6,200,5186.719383
-121124.5,200,5190.430578
-666361.5,200,5194.39961
-720558.9,200,5198.589455
-643248.1,200,5205.481391
-736568.7,200,5209.566179
-1727666.3,200,5213.884184
-916413.4,200,5217.916459
-1728343.2,200,5222.124311
-717575.5,200,5226.13763
-1716024.6,200,5230.00327
-673117.2,200,5234.02376
-171452.4,200,5237.82783
-1654362.3,200,5241.954615
-703850.7,200,5245.946007
-1657068.5,200,5249.943794
-1690357.7,200,5254.187533
-1641256.9,200,5258.303508
-1677996.3,200,5262.511685
-670579.0,200,5266.402555
-1703337.8,200,5270.624817
-1626884.4,200,5274.923695
-140464.8,200,5278.991771
-1650419.2,200,5283.209935
-1639390.7,200,5290.219122
-695356.2,200,5294.507551
-1637269.0,200,5298.591503
-736237.6,200,5302.515305
-1655037.1,200,5306.248018
-740623.1,200,5310.289276
-890105.3,200,5314.441014
-170895.7,200,5318.350293
-164942.4,200,5322.336027
-1642261.5,200,5326.418016
-1726850.8,200,5330.387977
-660933.7,200,5334.344312
-731280.8,200,5338.476547
-664075.3,200,5342.447627
-188305.6,200,5346.500687
-894090.4,200,5350.433446
-1728020.5,200,5354.340744
-1625670.7,200,5358.330367
-1653936.1,200,5362.67933
-186148.9,200,5366.613593
-145842.9,200,5370.405735
-1700348.9,200,5377.091472
-1646074.3,200,5381.136518
-1663647.1,200,5385.555619
-1653778.5,200,5389.907886
-1646399.8,200,5393.87069
-1673356.0,200,5398.120222
-1813448.5,200,5402.439706
-708671.6,200,5406.681738
-281987.9,200,5410.815377
-1723612.6,200,5415.041437
-576683.7,200,5419.108099
-1740331.4,200,5423.182374
-1608980.5,200,5427.278326
-142011.7,200,5431.239849
-1721173.8,200,5435.3306
-1734198.0,200,5439.30726
-1673032.7,200,5443.44841
-641258.8,200,5447.478205
-1617737.5,200,5451.30406
